% Part IA Scientific Computing
% Example data file
% Columns are [x, y1, y2]
18.75,0.17641,0.15335
19,0.17093,0.14957
19.25,0.16069,0.14588
19.5,0.14767,0.14227
19.75,0.13437,0.13876
20,0.12312,0.13534
20.25,0.11557,0.13199
20.5,0.11237,0.12873
20.75,0.1131,0.12556
21,0.11646,0.12246
21.25,0.12069,0.11943
21.5,0.12402,0.11648
21.75,0.12504,0.11361
22,0.12308,0.1108
22.25,0.11822,0.10807
22.5,0.11124,0.1054
22.75,0.10336,0.1028
23,0.095915,0.10026
23.25,0.090023,0.097783
23.5,0.086344,0.095369
23.75,0.084968,0.093014
24,0.08545,0.090718
24.25,0.086964,0.088478
24.5,0.088532,0.086294
24.75,0.08927,0.084163
25,0.088587,0.082085
25.25,0.086292,0.080058
25.5,0.082606,0.078082
25.75,0.078067,0.076154
26,0.073374,0.074274
26.25,0.069207,0.07244
26.5,0.066068,0.070651
26.75,0.064179,0.068907
27,0.06346,0.067206
27.25,0.06357,0.065546
27.5,0.064018,0.063928
27.75,0.064288,0.062349
28,0.063965,0.06081
28.25,0.062822,0.059309
28.5,0.060855,0.057844
28.75,0.058264,0.056416
29,0.055384,0.055023
29.25,0.052595,0.053665
29.5,0.050227,0.05234
29.75,0.048489,0.051047
30,0.047426,0.049787
30.25,0.046932,0.048558
30.5,0.04678,0.047359
30.75,0.046695,0.04619
31,0.046416,0.045049
31.25,0.045762,0.043937
31.5,0.044663,0.042852
31.75,0.043165,0.041794
32,0.041413,0.040762
32.25,0.039602,0.039756
32.5,0.037929,0.038774
32.75,0.036544,0.037817
33,0.035523,0.036883
33.25,0.034854,0.035973
33.5,0.034447,0.035084
33.75,0.034166,0.034218
34,0.033863,0.033373
34.25,0.033415,0.032549
34.5,0.032747,0.031746
34.75,0.03185,0.030962
35,0.030775,0.030197
35.25,0.029612,0.029452
35.5,0.02847,0.028725
35.75,0.027445,0.028015
36,0.026602,0.027324
36.25,0.02596,0.026649
36.5,0.025494,0.025991
36.75,0.025143,0.025349
37,0.024828,0.024724
37.25,0.024475,0.024113
37.5,0.024028,0.023518
37.75,0.02346,0.022937
38,0.022783,0.022371
38.25,0.022034,0.021818
38.5,0.021266,0.02128
38.75,0.020536,0.020754
39,0.01989,0.020242
39.25,0.019353,0.019742
39.5,0.018923,0.019255
39.75,0.018577,0.018779
40,0.018279,0.018316
40.25,0.017985,0.017863
40.5,0.017658,0.017422
40.75,0.017276,0.016992
41,0.016834,0.016573
41.25,0.016342,0.016163
41.5,0.015826,0.015764
41.75,0.015317,0.015375
42,0.014843,0.014996
42.25,0.014422,0.014625
42.5,0.014064,0.014264
42.75,0.013761,0.013912
43,0.013498,0.013569
43.25,0.013252,0.013234
43.5,0.013002,0.012907
43.75,0.01273,0.012588
44,0.012428,0.012277
44.25,0.012098,0.011974
44.5,0.011748,0.011679
44.75,0.011395,0.01139
45,0.011054,0.011109
45.25,0.010738,0.010835
45.5,0.010456,0.010567
45.75,0.010208,0.010306
46,0.0099885,0.010052
46.25,0.0097867,0.0098037
46.5,0.0095906,0.0095616
46.75,0.0093893,0.0093255
47,0.0091755,0.0090953
47.25,0.0089469,0.0088707
47.5,0.0087064,0.0086517
47.75,0.0084604,0.0084381
48,0.0082175,0.0082297
48.25,0.007986,0.0080266
48.5,0.0077717,0.0078284
48.75,0.0075772,0.0076351
49,0.0074012,0.0074466
49.25,0.0072393,0.0072627
49.5,0.0070854,0.0070834
49.75,0.0069331,0.0069085
50,0.0067771,0.0067379
50.25,0.0066148,0.0065716
50.5,0.006446,0.0064093
50.75,0.0062732,0.0062511
51,0.0061005,0.0060967
51.25,0.0059325,0.0059462
51.5,0.0057731,0.0057994
51.75,0.0056247,0.0056562
52,0.0054877,0.0055166
52.25,0.0053608,0.0053804
52.5,0.0052409,0.0052475
52.75,0.0051246,0.005118
53,0.0050087,0.0049916
53.25,0.0048909,0.0048684
53.5,0.0047703,0.0047482
53.75,0.0046475,0.0046309
54,0.0045242,0.0045166
54.25,0.0044028,0.0044051
54.5,0.0042857,0.0042963
54.75,0.0041745,0.0041902
55,0.0040701,0.0040868
55.25,0.0039723,0.0039859
55.5,0.0038799,0.0038875
55.75,0.0037911,0.0037915
56,0.0037041,0.0036979
56.25,0.0036173,0.0036066
56.5,0.0035298,0.0035175
56.75,0.0034415,0.0034307
57,0.0033529,0.003346
57.25,0.0032651,0.0032634
57.5,0.0031795,0.0031828
57.75,0.0030971,0.0031042
58,0.0030186,0.0030276
58.25,0.0029444,0.0029528
58.5,0.0028739,0.0028799
58.75,0.0028064,0.0028088
59,0.0027409,0.0027394
59.25,0.0026764,0.0026718
59.5,0.0026121,0.0026058
59.75,0.0025479,0.0025415
60,0.0024838,0.0024788
60.25,0.0024201,0.0024176
60.5,0.0023576,0.0023579
60.75,0.0022969,0.0022996
61,0.0022385,0.0022429
61.25,0.0021827,0.0021875
61.5,0.0021294,0.0021335
61.75,0.0020784,0.0020808
62,0.002029,0.0020294
62.25,0.0019809,0.0019793
62.5,0.0019334,0.0019305
62.75,0.0018863,0.0018828
63,0.0018395,0.0018363
63.25,0.0017931,0.001791
63.5,0.0017475,0.0017467
63.75,0.0017029,0.0017036
64,0.0016596,0.0016616
64.25,0.001618,0.0016205
64.5,0.0015781,0.0015805
64.75,0.0015397,0.0015415
65,0.0015026,0.0015034
65.25,0.0014666,0.0014663
65.5,0.0014313,0.0014301
65.75,0.0013966,0.0013948
66,0.0013622,0.0013604
66.25,0.0013283,0.0013268
66.5,0.0012949,0.001294
66.75,0.0012621,0.0012621
67,0.0012302,0.0012309
67.25,0.0011993,0.0012005
67.5,0.0011695,0.0011709
67.75,0.0011408,0.001142
68,0.001113,0.0011138
68.25,0.0010861,0.0010863
68.5,0.0010598,0.0010595
68.75,0.0010341,0.0010333
69,0.0010088,0.0010078
69.25,0.00098383,0.0009829
69.5,0.00095929,0.00095864
69.75,0.00093523,0.00093497
70,0.00091172,0.00091188
70.25,0.00088886,0.00088937
70.5,0.00086671,0.00086741
70.75,0.00084528,0.00084599
71,0.00082455,0.0008251
71.25,0.00080446,0.00080473
71.5,0.0007849,0.00078486
71.75,0.0007658,0.00076549
72,0.00074707,0.00074659
72.25,0.00072868,0.00072815
72.5,0.00071062,0.00071017
72.75,0.0006929,0.00069264
73,0.00067558,0.00067554
73.25,0.00065868,0.00065886
73.5,0.00064226,0.00064259
73.75,0.00062634,0.00062673
74,0.0006109,0.00061125
74.25,0.00059593,0.00059616
74.5,0.00058137,0.00058144
74.75,0.00056717,0.00056709
75,0.0005533,0.00055308
